epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,541.729,1.14285,0.9671,1.26789,0.80976,0.51697,0.64498,0.43895,1.35352,1.23318,1.49249,0.000996313,0.000996313,0.000996313
43,554.371,1.11259,0.94711,1.24941,0.78537,0.55829,0.65497,0.45985,1.31117,1.31961,1.4215,0.000990125,0.000990125,0.000990125
44,566.95,1.08449,0.9225,1.25525,0.76265,0.57609,0.64014,0.4434,1.34783,1.34324,1.45744,0.000983938,0.000983938,0.000983938
45,579.556,1.06773,0.85128,1.24013,0.8114,0.5307,0.64765,0.44278,1.32217,1.26175,1.45002,0.00097775,0.00097775,0.00097775
46,592.213,1.12851,0.93718,1.24499,0.7745,0.55901,0.62125,0.42661,1.38815,1.3024,1.51494,0.000971562,0.000971562,0.000971562
47,604.848,1.11306,0.95181,1.25921,0.76262,0.55604,0.63288,0.41855,1.38511,1.24013,1.50548,0.000965375,0.000965375,0.000965375
48,617.502,1.09121,0.90078,1.23112,0.83258,0.55159,0.66721,0.46122,1.34205,1.22185,1.43772,0.000959187,0.000959187,0.000959187
49,630.098,1.09107,0.91915,1.24861,0.77611,0.57956,0.66681,0.46008,1.34325,1.25511,1.48437,0.000953,0.000953,0.000953
50,642.77,1.1074,0.89933,1.25317,0.72408,0.6002,0.66203,0.45811,1.31232,1.28422,1.44198,0.000946812,0.000946812,0.000946812
51,655.27,1.05259,0.89439,1.22972,0.79632,0.57956,0.67423,0.47932,1.30432,1.24009,1.4375,0.000940625,0.000940625,0.000940625
52,667.953,1.05557,0.86481,1.21668,0.73761,0.57668,0.66575,0.45267,1.32184,1.23128,1.47552,0.000934438,0.000934438,0.000934438
53,680.508,1.03934,0.86153,1.21713,0.802,0.55617,0.65856,0.45859,1.32416,1.21518,1.44108,0.00092825,0.00092825,0.00092825
54,693.129,1.09966,0.93176,1.25168,0.79741,0.55304,0.64644,0.42599,1.38295,1.35627,1.48264,0.000922063,0.000922063,0.000922063
55,705.666,1.04507,0.85207,1.23281,0.78926,0.56158,0.63604,0.43382,1.35962,1.21697,1.48372,0.000915875,0.000915875,0.000915875
56,718.155,1.02612,1.01267,1.20679,0.77177,0.56634,0.63619,0.41642,1.41195,1.37242,1.55113,0.000909688,0.000909688,0.000909688
57,730.682,1.09001,0.90458,1.23548,0.83819,0.56198,0.6722,0.45774,1.3323,1.30329,1.45614,0.0009035,0.0009035,0.0009035
