epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,543.681,1.12889,0.9583,1.26189,0.83532,0.54197,0.65431,0.42907,1.38171,1.19461,1.52886,0.00108088,0.00108088,0.00108088
43,556.308,1.1031,0.94837,1.25475,0.77916,0.591,0.67087,0.46302,1.3428,1.20303,1.47793,0.00107675,0.00107675,0.00107675
44,569.043,1.11031,0.94218,1.26952,0.72029,0.58203,0.64657,0.44203,1.37857,1.29194,1.47581,0.00107263,0.00107263,0.00107263
45,581.685,1.07785,0.86766,1.2451,0.84673,0.55895,0.67111,0.43641,1.37579,1.19893,1.49829,0.0010685,0.0010685,0.0010685
46,594.311,1.14708,0.95085,1.26324,0.8023,0.56181,0.65665,0.40315,1.45688,1.31392,1.60101,0.00106437,0.00106437,0.00106437
47,607.072,1.1339,0.97199,1.27945,0.76669,0.59358,0.65176,0.43447,1.39316,1.22848,1.52764,0.00106025,0.00106025,0.00106025
48,619.75,1.10777,0.89998,1.24111,0.74105,0.56813,0.65224,0.42692,1.40087,1.28563,1.50451,0.00105612,0.00105612,0.00105612
49,632.461,1.08408,0.92373,1.25504,0.77141,0.56568,0.65842,0.44649,1.34908,1.22662,1.46265,0.001052,0.001052,0.001052
50,645.175,1.12273,0.89758,1.26261,0.69619,0.59795,0.64187,0.43612,1.34047,1.28706,1.46852,0.00104787,0.00104787,0.00104787
51,657.817,1.07778,0.88963,1.25575,0.75395,0.61667,0.66269,0.44736,1.37549,1.26851,1.4798,0.00104375,0.00104375,0.00104375
52,670.644,1.07886,0.88244,1.23016,0.75249,0.60107,0.66618,0.44868,1.3571,1.17359,1.48755,0.00103962,0.00103962,0.00103962
53,683.266,1.05903,0.88361,1.24073,0.75262,0.60028,0.65588,0.45226,1.35009,1.21651,1.518,0.0010355,0.0010355,0.0010355
54,696.078,1.12286,0.93102,1.26339,0.73217,0.61466,0.65871,0.43436,1.37849,1.28344,1.4859,0.00103138,0.00103138,0.00103138
55,708.721,1.06216,0.87971,1.23398,0.76883,0.56865,0.64625,0.43493,1.35451,1.29151,1.47572,0.00102725,0.00102725,0.00102725
56,721.403,1.02442,0.90587,1.21191,0.76192,0.57641,0.65182,0.42345,1.38439,1.23866,1.51841,0.00102312,0.00102312,0.00102312
57,734.12,1.10077,0.91529,1.24183,0.76451,0.55627,0.64879,0.44885,1.36242,1.35866,1.47877,0.001019,0.001019,0.001019
58,746.84,1.06399,0.89786,1.2054,0.81613,0.55928,0.6678,0.46544,1.31506,1.25483,1.42448,0.00101488,0.00101488,0.00101488
59,759.579,1.04403,0.96204,1.24238,0.77313,0.56906,0.66325,0.45863,1.31728,1.17063,1.44501,0.00101075,0.00101075,0.00101075
60,772.29,1.03461,0.90338,1.20656,0.78125,0.56655,0.66809,0.45947,1.33831,1.19291,1.44165,0.00100663,0.00100663,0.00100663
61,784.884,1.0557,0.85027,1.22042,0.79885,0.55959,0.66548,0.45688,1.32502,1.20526,1.46703,0.0010025,0.0010025,0.0010025
62,797.637,1.04909,0.8524,1.22551,0.80114,0.5658,0.6656,0.46146,1.30823,1.19993,1.42798,0.000998375,0.000998375,0.000998375
63,810.22,1.06684,0.89849,1.23595,0.80453,0.52678,0.63869,0.44016,1.34872,1.29358,1.48875,0.00099425,0.00099425,0.00099425
64,823.065,1.04215,0.86091,1.22029,0.70351,0.59601,0.655,0.44643,1.38935,1.25021,1.49769,0.000990125,0.000990125,0.000990125
65,835.657,1.08832,0.84931,1.24263,0.80971,0.55356,0.64636,0.44993,1.3423,1.2292,1.47196,0.000986,0.000986,0.000986
66,848.349,1.02577,0.81222,1.21047,0.75132,0.60927,0.66394,0.46793,1.34022,1.24299,1.47467,0.000981875,0.000981875,0.000981875
67,861.027,1.06041,0.85236,1.23673,0.73338,0.60551,0.6744,0.46456,1.32723,1.22282,1.46154,0.00097775,0.00097775,0.00097775
68,873.667,1.09872,0.90346,1.32006,0.78661,0.58814,0.66581,0.45637,1.3388,1.17349,1.47599,0.000973625,0.000973625,0.000973625
69,886.358,1.05015,0.87006,1.24771,0.76877,0.55968,0.65041,0.44641,1.33759,1.26627,1.44709,0.0009695,0.0009695,0.0009695
